config,lambda,age_h,recency_factor,score_mean,score_p50,CRITICAL_mean,HIGH_mean,MEDIUM_HIGH_mean,MEDIUM_mean,LOW_MEDIUM_mean,LOW_mean,d_CRIT_HIGH,d_HIGH_MHIGH,d_MHIGH_MED,d_MED_LMED,d_LMED_LOW,avg_cohens_d,monotonic,fp_rate,fn_rate
B_emotion_heavy,0.02,1,0.9802,0.4323,0.4132,0.5763,0.4591,0.5466,0.4397,0.4508,0.1733,0.9368,-0.4648,0.4834,-0.0463,1.4684,0.4755,False,0.0048,0.2655
B_emotion_heavy,0.02,6,0.8869,0.4196,0.3974,0.5614,0.4459,0.5322,0.4273,0.4378,0.1622,0.9392,-0.4559,0.4687,-0.0438,1.4520,0.4720,False,0.0041,0.2714
B_emotion_heavy,0.02,24,0.6188,0.3828,0.3513,0.5185,0.4078,0.4899,0.3912,0.3997,0.1304,0.9477,-0.4280,0.4281,-0.0347,1.4069,0.4640,False,0.0022,0.2888
B_emotion_heavy,0.02,72,0.2369,0.3285,0.2870,0.4573,0.3533,0.4267,0.3379,0.3422,0.0850,0.9675,-0.3801,0.3751,-0.0174,1.3505,0.4591,False,0.0008,0.3590
B_emotion_heavy,0.02,168,0.0347,0.2985,0.2532,0.4248,0.3244,0.3908,0.3084,0.3094,0.0610,0.9818,-0.3478,0.3490,-0.0043,1.3302,0.4618,False,0.0005,0.4236
B_emotion_heavy,0.05,1,0.9512,0.4284,0.4084,0.5717,0.4550,0.5422,0.4359,0.4468,0.1698,0.9375,-0.4621,0.4788,-0.0456,1.4632,0.4744,False,0.0046,0.2673
B_emotion_heavy,0.05,6,0.7408,0.3996,0.3726,0.5381,0.4252,0.5093,0.4077,0.4172,0.1449,0.9435,-0.4412,0.4462,-0.0390,1.4272,0.4674,False,0.0029,0.2784
B_emotion_heavy,0.05,24,0.3012,0.3378,0.2978,0.4676,0.3625,0.4377,0.3471,0.3522,0.0927,0.9634,-0.3891,0.3837,-0.0207,1.3591,0.4593,False,0.0010,0.3410
B_emotion_heavy,0.05,72,0.0273,0.2974,0.2520,0.4237,0.3233,0.3894,0.3073,0.3082,0.0601,0.9824,-0.3465,0.3481,-0.0037,1.3298,0.4620,False,0.0005,0.4259
B_emotion_heavy,0.05,168,0.0002,0.2933,0.2476,0.4193,0.3194,0.3844,0.3032,0.3036,0.0569,0.9845,-0.3415,0.3447,-0.0015,1.3282,0.4629,False,0.0004,0.4338
C_social_identity,0.005,1,0.9950,0.4071,0.3815,0.5244,0.4185,0.5366,0.4112,0.4166,0.1799,0.8345,-0.6302,0.5659,-0.0228,1.2632,0.4021,False,0.0054,0.2883
C_social_identity,0.005,6,0.9704,0.4037,0.3773,0.5204,0.4150,0.5328,0.4079,0.4130,0.1770,0.8346,-0.6276,0.5621,-0.0216,1.2597,0.4014,False,0.0050,0.2906
C_social_identity,0.005,24,0.8869,0.3921,0.3631,0.5071,0.4031,0.5198,0.3965,0.4005,0.1671,0.8352,-0.6185,0.5495,-0.0171,1.2484,0.3995,False,0.0043,0.3002
C_social_identity,0.005,72,0.6977,0.3654,0.3307,0.4768,0.3762,0.4895,0.3702,0.3715,0.1447,0.8372,-0.5967,0.5228,-0.0053,1.2249,0.3966,False,0.0027,0.3405
C_social_identity,0.005,168,0.4317,0.3267,0.2845,0.4342,0.3382,0.4451,0.3321,0.3282,0.1131,0.8427,-0.5625,0.4901,0.0166,1.2000,0.3974,False,0.0012,0.3993
C_social_identity,0.01,1,0.9900,0.4064,0.3806,0.5236,0.4178,0.5359,0.4105,0.4159,0.1793,0.8345,-0.6296,0.5651,-0.0226,1.2625,0.4020,False,0.0053,0.2885
C_social_identity,0.01,6,0.9418,0.3997,0.3724,0.5159,0.4109,0.5284,0.4040,0.4087,0.1736,0.8348,-0.6245,0.5577,-0.0201,1.2557,0.4007,False,0.0048,0.2930
C_social_identity,0.01,24,0.7866,0.3780,0.3459,0.4911,0.3889,0.5039,0.3827,0.3853,0.1552,0.8361,-0.6072,0.5350,-0.0110,1.2357,0.3977,False,0.0034,0.3217
C_social_identity,0.01,72,0.4868,0.3349,0.2939,0.4430,0.3461,0.4546,0.3401,0.3374,0.1196,0.8413,-0.5700,0.4963,0.0115,1.2041,0.3966,False,0.0013,0.3858
C_social_identity,0.01,168,0.1864,0.2892,0.2428,0.3948,0.3031,0.4006,0.2948,0.2856,0.0839,0.8500,-0.5245,0.4661,0.0408,1.1883,0.4041,False,0.0004,0.4670
C_social_identity,0.02,1,0.9802,0.4051,0.3790,0.5220,0.4164,0.5343,0.4092,0.4144,0.1782,0.8346,-0.6286,0.5636,-0.0221,1.2611,0.4017,False,0.0052,0.2895
C_social_identity,0.02,6,0.8869,0.3921,0.3631,0.5071,0.4031,0.5198,0.3965,0.4005,0.1671,0.8352,-0.6185,0.5495,-0.0171,1.2484,0.3995,False,0.0043,0.3002
C_social_identity,0.02,24,0.6188,0.3541,0.3174,0.4642,0.3649,0.4766,0.3591,0.3590,0.1353,0.8384,-0.5871,0.5124,0.0003,1.2160,0.3960,False,0.0021,0.3578
C_social_identity,0.02,72,0.2369,0.2971,0.2511,0.4029,0.3104,0.4101,0.3027,0.2945,0.0899,0.8483,-0.5329,0.4704,0.0358,1.1900,0.4023,False,0.0005,0.4493
C_social_identity,0.02,168,0.0347,0.2651,0.2176,0.3705,0.2814,0.3717,0.2707,0.2586,0.0659,0.8550,-0.4975,0.4553,0.0551,1.1836,0.4103,False,0.0003,0.5405
C_social_identity,0.05,1,0.9512,0.4010,0.3740,0.5174,0.4123,0.5298,0.4053,0.4102,0.1747,0.8347,-0.6255,0.5591,-0.0206,1.2570,0.4010,False,0.0049,0.2922
C_social_identity,0.05,6,0.7408,0.3716,0.3380,0.4837,0.3823,0.4965,0.3763,0.3782,0.1498,0.8366,-0.6019,0.5287,-0.0081,1.2301,0.3971,False,0.0029,0.3298
C_social_identity,0.05,24,0.3012,0.3070,0.2619,0.4132,0.3196,0.4219,0.3125,0.3058,0.0976,0.8463,-0.5431,0.4764,0.0293,1.1924,0.4003,False,0.0007,0.4319
C_social_identity,0.05,72,0.0273,0.2639,0.2164,0.3693,0.2803,0.3702,0.2695,0.2573,0.0650,0.8552,-0.4962,0.4548,0.0558,1.1834,0.4106,False,0.0003,0.5490
C_social_identity,0.05,168,0.0002,0.2595,0.2119,0.3649,0.2764,0.3650,0.2651,0.2525,0.0618,0.8561,-0.4910,0.4532,0.0582,1.1826,0.4118,False,0.0002,0.5656
D_novelty_surprise,0.005,1,0.9950,0.3901,0.3597,0.5696,0.4164,0.5068,0.3898,0.4096,0.1800,1.1284,-0.4473,0.5090,-0.0810,1.1856,0.4589,False,0.0082,0.2885
D_novelty_surprise,0.005,6,0.9704,0.3868,0.3557,0.5656,0.4129,0.5031,0.3865,0.4060,0.1771,1.1297,-0.4452,0.5052,-0.0799,1.1821,0.4584,False,0.0078,0.2912
D_novelty_surprise,0.005,24,0.8869,0.3753,0.3414,0.5523,0.4011,0.4902,0.3753,0.3939,0.1672,1.1341,-0.4380,0.4928,-0.0758,1.1702,0.4567,False,0.0070,0.3036
D_novelty_surprise,0.005,72,0.6977,0.3489,0.3092,0.5220,0.3742,0.4604,0.3494,0.3656,0.1448,1.1456,-0.4201,0.4667,-0.0656,1.1451,0.4543,False,0.0048,0.3553
D_novelty_surprise,0.005,168,0.4317,0.3103,0.2641,0.4795,0.3362,0.4153,0.3113,0.3230,0.1133,1.1650,-0.3874,0.4344,-0.0478,1.1177,0.4564,False,0.0020,0.4422
D_novelty_surprise,0.01,1,0.9900,0.3894,0.3589,0.5688,0.4157,0.5061,0.3891,0.4088,0.1794,1.1287,-0.4469,0.5082,-0.0808,1.1849,0.4588,False,0.0082,0.2895
D_novelty_surprise,0.01,6,0.9418,0.3828,0.3507,0.5611,0.4089,0.4987,0.3827,0.4019,0.1737,1.1312,-0.4428,0.5009,-0.0785,1.1779,0.4578,False,0.0075,0.2951
D_novelty_surprise,0.01,24,0.7866,0.3614,0.3243,0.5362,0.3868,0.4745,0.3616,0.3790,0.1554,1.1400,-0.4289,0.4787,-0.0706,1.1566,0.4552,False,0.0059,0.3270
D_novelty_surprise,0.01,72,0.4868,0.3185,0.2736,0.4883,0.3441,0.4251,0.3194,0.3322,0.1198,1.1607,-0.3953,0.4406,-0.0520,1.1221,0.4552,False,0.0024,0.4228
D_novelty_surprise,0.01,168,0.1864,0.2721,0.2225,0.4401,0.3011,0.3692,0.2732,0.2807,0.0842,1.1878,-0.3448,0.4131,-0.0318,1.1021,0.4653,False,0.0010,0.5472
D_novelty_surprise,0.02,1,0.9802,0.3881,0.3571,0.5672,0.4143,0.5046,0.3878,0.4074,0.1783,1.1292,-0.4460,0.5067,-0.0803,1.1835,0.4586,False,0.0081,0.2906
D_novelty_surprise,0.02,6,0.8869,0.3753,0.3414,0.5523,0.4011,0.4902,0.3753,0.3939,0.1672,1.1341,-0.4380,0.4928,-0.0758,1.1702,0.4567,False,0.0070,0.3036
D_novelty_surprise,0.02,24,0.6188,0.3377,0.2960,0.5094,0.3629,0.4475,0.3383,0.3534,0.1355,1.1510,-0.4117,0.4565,-0.0609,1.1356,0.4541,False,0.0042,0.3835
D_novelty_surprise,0.02,72,0.2369,0.2801,0.2311,0.4482,0.3083,0.3790,0.2813,0.2895,0.0902,1.1828,-0.3546,0.4166,-0.0346,1.1051,0.4631,False,0.0012,0.5332
D_novelty_surprise,0.02,168,0.0347,0.2475,0.1968,0.4158,0.2794,0.3393,0.2485,0.2541,0.0662,1.2032,-0.3130,0.4042,-0.0247,1.0927,0.4725,False,0.0008,0.5904
D_novelty_surprise,0.05,1,0.9512,0.3841,0.3523,0.5626,0.4102,0.5001,0.3839,0.4033,0.1749,1.1307,-0.4436,0.5023,-0.0790,1.1793,0.4580,False,0.0076,0.2932
D_novelty_surprise,0.05,6,0.7408,0.3550,0.3165,0.5289,0.3803,0.4673,0.3553,0.3721,0.1499,1.1428,-0.4245,0.4725,-0.0680,1.1506,0.4547,False,0.0052,0.3432
D_novelty_surprise,0.05,24,0.3012,0.2902,0.2418,0.4586,0.3175,0.3912,0.2914,0.3007,0.0978,1.1766,-0.3662,0.4217,-0.0386,1.1088,0.4604,False,0.0014,0.5031
D_novelty_surprise,0.05,72,0.0273,0.2463,0.1955,0.4146,0.2783,0.3378,0.2473,0.2528,0.0653,1.2040,-0.3114,0.4038,-0.0244,1.0923,0.4729,False,0.0008,0.5917
D_novelty_surprise,0.05,168,0.0002,0.2419,0.1909,0.4102,0.2744,0.3324,0.2428,0.2481,0.0621,1.2068,-0.3053,0.4024,-0.0233,1.0904,0.4742,False,0.0008,0.5983
